BLOCK.POS,Sample.ID,Family.Unique,Family.NonUnique,Replicate,HabitatType,Region,Population,Collector,Collection.Date,Block.ID,Position,Letter.Pos,No.Position,Bench,Planting.Date,Survival.Y.N,Germination.Y.N,Germination.Date,No.Days.to.Germ,True.Leaf,No.Days.to.TrueLeaf,Germ.to.TrueLeaf,Flower.Y.N.2016,Fruit.Y.N.2016,DTFF.2016,no.Planting.to.DTFF,No.Days.Germ.to.Flr,No.Days.TL.to.Flr,No.Flowers.2016,No.Fruit.2016,Seedmass.2016,sm,Flower.Y.N.2017,Fruit.Y.N.2017,Flowering.4.2.17.Y.N,DTFF.2017,DTFF.Ordinal.Day.2017,norm.flower.date.2017,Date.to.Bolt.2017,DtB.O.Day.2017,norm.bolt.date.2017,Date.to.Fruit.2017,Fruit.O.Day.2017,norm.fruit.date.2017,Seedmass.2017,sm2017,sm.2,Survival.Y.N.2017,No.Fruit.2017,Total.N.R.2017,Total.Flowers.2017,Flowering.Y.N.2018,Fruit.Y.N.2018,DTFF.2018,DTFF.18.Oday,DtB.2018,DtB.Oday.2018,Date.to.Fruit.2018,Date.to.Fruit.Oday.2018,Non.reproductive.flowers,seedmass.2018.g.,No.Fruit.2018,Total.Flowers.2018,Survival.Y.N.2018,Latitude,Longitude,Elevation.m,n.fruit.envelopes,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1-A10,MAN-FOX.17.1,MAN-FOX_17,17,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,A10,A,10,1,11/7/2015,1,1,11/16/2015,9,11/23/2015,16,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/20/2017,140,50,0.265,265,265,1,5,2,7,1,1,4/16/2018,106,4/30/2018,120,5/18/2018,138,3,0.5586,7,10,1,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-A11,SD-MUD.32.1,SD-MUD_32,32,1,Prairie,Prairie,SD-MUD,Tyler_Stadel,6/26/2015,1,A11,A,11,1,11/7/2015,1,1,11/26/2015,19,12/3/2015,26,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/17/2017,137,47,0.307,307,307,1,3,1,4,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,44.76309,-96.58792,531,33,6.1,22,-11.7,33.7,625,396,25.8,55.6,1082,2253,4609,321,167,132,272,140,87,-38.7,40.1,753,249,13.5,58
1-A12,MB-CRN.16.1,MB-CRN_16,16,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,A12,A,12,1,11/7/2015,1,1,11/19/2015,12,11/24/2015,17,5,1,0,7/20/2016,256,244,239,6,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/16/2017,136,46,0.234,234,234,1,4,5,9,1,0,4/26/2018,116,5/7/2018,127,NA,NA,1,NA,NA,1,1,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-A13,MB-MR.26.1,MB-MR_26,26,1,Prairie,MB_alvar,MB-MR,Rebekah_Neufeld,7/2/2015,1,A13,A,13,1,11/7/2015,1,1,11/16/2015,9,11/21/2015,14,5,1,0,6/30/2016,236,227,222,1,0,0,0,1,0,1,4/2/2017,91,1,4/23/2017,113,23,NA,NA,NA,0,0,0,1,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,51.184289,-97.626839,231,40,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53
1-A14,NAP-SCH.23.1,NAP-SCH_23,23,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,A14,A,14,1,11/7/2015,1,1,11/18/2015,11,11/25/2015,18,7,1,0,7/20/2016,256,245,238,1,0,0,0,1,0,1,4/2/2017,91,1,4/16/2017,106,16,NA,NA,NA,0.431,431,431,1,7,4,11,1,1,4/26/2018,116,5/7/2018,127,5/18/2018,138,1,0.2273,2,3,1,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-A15,SD-MUD.6.1,SD-MUD_6,6,1,Prairie,Prairie,SD-MUD,Tyler_Stadel,6/26/2015,1,A15,A,15,1,11/7/2015,1,1,11/21/2015,14,11/29/2015,22,8,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/9/2017,99,9,4/23/2017,113,23,5/18/2017,138,48,0.264,264,264,1,3,3,6,1,1,4/16/2018,106,5/10/2018,130,5/18/2018,138,5,0.251,3,8,1,44.76309,-96.58792,531,33,6.1,22,-11.7,33.7,625,396,25.8,55.6,1082,2253,4609,321,167,132,272,140,87,-38.7,40.1,753,249,13.5,58
1-A16,AB-RO.6.1,AB-RO_6,6,1,Prairie,Prairie,AB-RO,Chad_Stratilo,6/21/2015,1,A16,A,16,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.671944,-110.147222,721,20,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-41.5,38.4,705,427,12.5,52
1-A2,MB-CRN.2.1,MB-CRN_2,2,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,A2,A,2,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4/2/2017,91,1,5/7/2017,127,37,NA,NA,NA,0,0,0,1,NA,3,3,1,1,4/16/2018,106,5/3/2018,123,5/18/2018,138,3,0.0423,1,4,1,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-A3,CAR-PSR.20.1,CAR-PSR_20,20,1,Alvar,GL_alvar,CAR-PSR,Jill_Hamilton,7/7/2015,1,A3,A,3,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
1-A4,MAN-KIP.15.1,MAN-KIP_15,15,1,Alvar,GL_alvar,MAN-KIP,Jill_Hamilton,7/8/2015,1,A4,A,4,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.87036,-82.53938,183,40,5.1,18.8,-9.7,28.4,827,360,18.2,52.2,961,1763,4790,124,174,140,276,136,239,-35.2,34.8,615,177,12.9,66
