Trait,Year,Heritability,Evolvability,Region,CVa,Va
Germination,2015,0.101712989,0.000449998,GLA,14.81855822,0.534830609
Germination,2015,0.143786272,0.145961789,MBA,38.20494591,0.155320407
Germination,2015,0.021421868,0.020379265,PRA,14.27559629,0.024064033
TrueLeaf,2015,0.021913829,0.000449998,GLA,5.650393127,0.158914053
TrueLeaf,2015,0.009255764,0.009248581,MBA,9.616954057,0.009366945
TrueLeaf,2015,0.02308868,0.022409873,PRA,14.96992765,0.024508911
DTFF,2016,0.108783531,0.000449998,GLA,10.37913269,163.2338972
DTFF,2016,3.09E-05,0.043855411,MBA,20.94168364,0.04442692
DTFF,2016,1.94E-05,0.027656214,PRA,16.6301574,0.027935188
Number of Flowers,2016,0.178502195,0.000449998,GLA,44.66265599,7.470817494
Number of Flowers,2016,0.335095285,0.739626905,MBA,86.00156422,0.874740066
Number of Flowers,2016,0.094749568,0.19811336,PRA,44.50992693,0.199605328
Number of Fruit,2016,0.037275766,0.000449998,GLA,117.8630349,0.254670539
Number of Fruit,2016,6.17E-11,91.37823652,MBA,955.9196437,7.93434E+12
Number of Fruit,2016,0.04280751,1.99727777,PRA,141.3250781,9.445810298
Seedmass (mg),2016,NA,NA,GLA,117.8630349,0.254670539
Seedmass (mg),2016,NA,NA,MBA,955.9196437,7.93434E+12
Seedmass (mg),2016,NA,NA,PRA,141.3250781,9.445810298
DTFF,2017,0.008683098,0.000449998,GLA,2.647526275,0.362645438
DTFF,2017,4.76E-05,0.001976886,MBA,4.446219176,0.001983659
DTFF,2017,6.61E-05,0.002678707,PRA,5.17562253,0.362645438
Date to Bolt,2017,0.021897215,0.000449998,GLA,5.574703601,2.214144533
Date to Bolt,2017,6.64E-05,0.006611397,MBA,8.131049853,0.006656693
Date to Bolt,2017,8.64E-05,0.008416989,PRA,9.174415207,0.008671236
Date to Fruit,2017,0.013515129,0.000449998,GLA,2.22415611,0.740719551
Date to Fruit,2017,2.78E-05,0.0015002,MBA,3.873241602,0.001509887
Date to Fruit,2017,2.39E-05,0.001284592,PRA,3.584120654,0.001299204
Number of Flowers,2017,0.054485878,0.000449998,GLA,25.12042389,1.822063198
Number of Flowers,2017,0.121427163,0.269008711,MBA,51.86604967,0.279942673
Number of Flowers,2017,0.292004989,0.770163799,PRA,87.75897668,0.830469211
Number of Fruit,2017,0.066820927,0.000449998,GLA,23.95131736,1.409219981
Number of Fruit,2017,0.032801,0.057251352,MBA,23.92725482,0.05619681
Number of Fruit,2017,0.031760541,0.057572048,PRA,23.99417604,0.052843517
Seedmass (mg),2017,1.79E-18,0.000449998,GLA,6.15E-05,6.18E-06
Seedmass (mg),2017,1.27E-16,3.26E-11,MBA,0.000571339,4.87E-07
Seedmass (mg),2017,9.73E-13,25.08007471,PRA,500.8001069,3.36423E+11
DTFF,2018,0.021439673,0.000449998,GLA,3.427017714,1.176466567
DTFF,2018,0.000156658,0.008450897,MBA,9.192875853,0.008522953
DTFF,2018,4.51E-05,0.002386533,PRA,4.885215734,0.002453318
Date to Bolt,2018,0.021439673,0.000449998,GLA,3.427017714,1.176466567
Date to Bolt,2018,0.000156658,0.008450897,MBA,9.192875853,0.008522953
Date to Bolt,2018,4.51E-05,0.002386533,PRA,4.885215734,0.002453318
Date to Fruit,2018,0.007199792,0.000449998,GLA,1.480197726,0.392779945
Date to Fruit,2018,3.30E-06,0.000179416,MBA,1.339463249,0.000179794
Date to Fruit,2018,1.08E-05,0.000583489,PRA,2.415552563,0.000587212
Number of Flowers,2018,0.018895355,0.000449998,GLA,20.30212827,0.451707886
Number of Flowers,2018,0.225959268,0.827420046,MBA,90.96263221,1.268714859
Number of Flowers,2018,0.118879287,0.453025641,PRA,67.3071795,0.569255878
Number of Fruit,2018,0.025040087,0.000449998,GLA,14.83418466,0.242068844
Number of Fruit,2018,0.145373071,0.240496573,MBA,49.04044992,0.265843752
Number of Fruit,2018,0.013580844,0.022005013,PRA,14.83408677,0.022114658
Seedmass (mg),2018,0.026669104,0.000449998,GLA,20.08102341,642.7380109
Seedmass (mg),2018,0.097808464,0.258242538,MBA,50.81756962,0.309991996
Seedmass (mg),2018,0.015528899,0.04032415,PRA,20.08087387,0.043317328
